model_name,params,param_count,train_time,device,train,scratch,,alpha,batch_size,block_size,n_embeddings,max_iters,Nx_blocks,n_heads,n_embeddings,ffn_hid_dim,non_linearity,dropout,,version,train_loss,train_perplexity,train_accuracy,train_bpc,val_loss,val_perplexity,val_accuracy,val_bpc,test_loss,test_perplexity,test_accuracy,test_bpc
05_01_Residuals,263.0 K,263008,07:22.9,cuda,TRUE,TRUE,FALSE,1.00E-05,512,64,128,50000,,,128,,relu,,,,1.883810392,6.578523918,0.452771667,2.71776391,1.883917669,6.579229685,0.452658081,2.717918679,1.883609557,6.577202853,0.45296283,2.717474166
05_04_Dropouts,297.1 K,297056,07:13.6,cuda,TRUE,TRUE,FALSE,1.00E-05,512,64,128,50000,,,128,,relu,,,,2.025564931,7.580392135,0.406014587,2.922272481,2.026269346,7.585733753,0.405835083,2.923288736,2.026580384,7.588093574,0.406093872,2.92373747
04_01_NxBlocks,263.0 K,263008,46:35.0,cuda,TRUE,TRUE,FALSE,1.00E-05,512,64,128,50000,,,128,,relu,,,,2.060957891,7.853488999,0.400367676,2.973333729,2.060933945,7.853300935,0.399971741,2.973299182,2.06090752,7.853093415,0.400303223,2.973261059
04_01_NxBlocks,271.2 K,271200,19:40.6,cuda,TRUE,TRUE,FALSE,1.00E-05,512,128,128,50000,,,128,,relu,,,,2.101298252,8.176778541,0.384376312,3.031532567,2.101214034,8.176089938,0.38421344,3.031411066,2.10185884,8.181363637,0.384341095,3.032341326
05_02_Projections,304.2 K,304224,25:46.9,cuda,TRUE,TRUE,FALSE,1.00E-05,512,128,128,50000,,,128,,relu,,,,1.920106082,6.821682088,0.440978638,2.770127522,1.920513926,6.824464837,0.44090799,2.770715917,1.920479075,6.824227001,0.441074799,2.770665637
02_02_3_Multi_Attn,82.0 K,82016,41:10.9,cuda,TRUE,TRUE,FALSE,1.00E-05,512,64,128,50000,,,128,,relu,,,,2.156026802,8.63675386,0.377139832,3.110489175,2.156228477,8.638495857,0.377204163,3.110780131,2.156402846,8.640002277,0.377367249,3.111031693
05_03_2_pre_LayerNorm,305.2 K,305248,38:15.2,cuda,TRUE,TRUE,FALSE,1.00E-05,512,128,128,50000,,,128,,relu,,,,1.890322313,6.621502534,0.448438202,2.727158627,1.889790957,6.617985094,0.448671448,2.726392042,1.890420577,6.62215322,0.44866571,2.727300391
05_04_Dropouts,305.2 K,305248,41:44.0,cuda,TRUE,TRUE,FALSE,1.00E-05,512,128,128,50000,,,128,,relu,,,,2.053800343,7.797477961,0.397393799,2.96300757,2.054881893,7.805915886,0.397176605,2.964567917,2.054523384,7.803117896,0.397343536,2.964050698
05_03_1_post_LayerNorm,305.2 K,305248,45:04.7,cuda,TRUE,TRUE,FALSE,1.00E-05,512,128,128,50000,,,128,,relu,,,,1.845916681,6.333903296,0.461325928,2.663094841,1.846023033,6.334576956,0.461418304,2.663248275,1.846556836,6.337959279,0.461388306,2.664018391
05_05_ScaleALittle,824.4 K,824416,49:22.3,cuda,TRUE,TRUE,FALSE,1.00E-05,512,64,128,50000,4,8,128,512,gelu,0.5,,,1.901025142,6.692751946,0.442556763,2.742599545,1.901363669,6.695018006,0.442349548,2.743087936,1.901877642,6.698459954,0.442440247,2.743829443
05_05_ScaleALittle,832.6 K,832608,52:41.2,cuda,TRUE,TRUE,FALSE,1.00E-05,512,128,128,50000,4,8,128,512,gelu,0.5,,,1.926717513,6.866932587,0.43398819,2.779665801,1.927155045,6.869937747,0.43388385,2.780297026,1.92714293,6.869854523,0.433960083,2.780279549
06_Transformer_small,832.6 K,832608,22:42.2,cuda,TRUE,TRUE,FALSE,2.00E-05,512,128,128,50000,4,8,128,512,gelu,0.5,,small,1.744274881,5.72175102,0.485665192,2.516456721,1.74441669,5.722562476,0.485564972,2.516661308,1.744969878,5.725729004,0.485610657,2.51745939
06_Transformer_medium,1.6 M,1624160,13:22.4,cuda,TRUE,TRUE,FALSE,2.00E-05,512,128,128,50000,8,8,128,512,gelu,0.5,,medium,1.640757157,5.159074265,0.516591003,2.367112214,1.640260876,5.156514547,0.516544098,2.366396231,1.641138554,5.161042293,0.516674774,2.367662453
06_Transformer_large,2.4 M,2415712,10:17.5,cuda,TRUE,TRUE,FALSE,2.00E-05,512,128,128,50000,12,8,128,512,gelu,0.5,,large,1.577135701,4.841069665,0.536036591,2.275325855,1.576612578,4.83853785,0.536192047,2.274571148,1.578041378,4.845456094,0.536026489,2.27663247
06_Transformer_xtraLarge,9.5 M,9549920,20:19.6,cuda,TRUE,TRUE,FALSE,2.00E-05,512,128,256,50000,12,8,256,1024,gelu,0.5,,xtraLarge,1.362033004,3.904122337,0.596100342,1.964998261,1.362340628,3.905323523,0.596157898,1.965442069,1.364277506,3.912894986,0.595716125,1.968236392
